url;nama;ratings;reviewers;kategori;alamat;jam-tutup
https://www.google.com/maps/place/Bebeke+Om+Aris+Otista+Bogor/data=!4m7!3m6!1s0x2e69c5c3f5a28ddb:0xb020dacbacab1b1d!8m2!3d-6.6026655!4d106.8011491!16s%2Fg%2F11hbfjw1d8!19sChIJ242i9cPFaS4RHRurrMvaILA?authuser=0&hl=id&rclk=1;Bebeke Om Aris Otista Bogor;4,6;(2.466);Indonesia;Jl. Otto Iskandardinata No.38;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Kluwih+Sunda/data=!4m7!3m6!1s0x2e69c5dc120272b5:0xa60f986acaaa4b3a!8m2!3d-6.6029521!4d106.8109593!16s%2Fg%2F11c6rj24zl!19sChIJtXICEtzFaS4ROkuqymqYD6Y?authuser=0&hl=id&rclk=1;Kluwih Sunda;4,5;(11.109);Sunda;Jl. Bina Marga No.12, RT.04/RW.11;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Love+Garden+Resto+%26+Cafe/data=!4m7!3m6!1s0x2e69c557db8118cf:0x1a9efc44c4242d8b!8m2!3d-6.5945122!4d106.7838202!16s%2Fg%2F11lgwqrjcg!19sChIJzxiB21fFaS4Riy0kxET8nho?authuser=0&hl=id&rclk=1;Love Garden Resto & Cafe;4,5;(873);Restoran;Jl. Veteran No.66, RT.01/RW.01;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/MP+Lasagna+Gulung/data=!4m7!3m6!1s0x2e69c5cc383e225d:0xc2f3af8179baf358!8m2!3d-6.58863!4d106.802713!16s%2Fg%2F1tdv3lwx!19sChIJXSI-OMzFaS4RWPO6eYGv88I?authuser=0&hl=id&rclk=1;MP Lasagna Gulung;4,5;(1.472);Italia;Jl. Salak No.24, RT.03/RW.04;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Saung+Kuring/data=!4m7!3m6!1s0x2e69c41465e6ee07:0x859cbc60e39af0fb!8m2!3d-6.5616895!4d106.7989522!16s%2Fg%2F1hm1v4brz!19sChIJB-7mZRTEaS4R-_Ca42C8nIU?authuser=0&hl=id&rclk=1;Saung Kuring;4,5;(8.500);Sunda;Jl. Sholeh Iskandar No.9, RT.04/RW.11;⋅ Tutup pukul 20.30
https://www.google.com/maps/place/Tempat+Makan/data=!4m7!3m6!1s0x2e69c575407fbd37:0xc8652a74cef08c75!8m2!3d-6.6081028!4d106.8024316!16s%2Fg%2F11hdj7ktrk!19sChIJN71_QHXFaS4RdYzwznQqZcg?authuser=0&hl=id&rclk=1;Tempat Makan;4,4;(20);Restoran;Jl. Suryakencana No.200, RT.02/RW.03;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Bebek+%26+Ayam+Goreng+Pak+Ndut/data=!4m7!3m6!1s0x2e69c5ddef01a153:0xc5e8fb49de958d30!8m2!3d-6.6063248!4d106.8107168!16s%2Fg%2F11cjhzj9gj!19sChIJU6EB793FaS4RMI2V3kn76MU?authuser=0&hl=id&rclk=1;Bebek & Ayam Goreng Pak Ndut;4,6;(2.524);Ayam;Jl. Bina Marga No.17, RT.04/RW.11;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Chick+N+Tea+Resto+Pusat/data=!4m7!3m6!1s0x2e69c4b11f3b8527:0xff45de82618be535!8m2!3d-6.5625419!4d106.7322951!16s%2Fg%2F11c1xq73y8!19sChIJJ4U7H7HEaS4RNeWLYYLeRf8?authuser=0&hl=id&rclk=1;Chick N Tea Resto Pusat;4,5;(1.068);Makanan Siap Saji;Jl. Raya Dramaga - Bogor No.KM. 7;
https://www.google.com/maps/place/Ngohiang+Khas+Bogor+Asli+Gang+Aut/data=!4m7!3m6!1s0x2e69c5e88bf91f55:0xbae4db1b38080259!8m2!3d-6.6102749!4d106.8049434!16s%2Fg%2F11h0w_2c6!19sChIJVR_5i-jFaS4RWQIIOBvb5Lo?authuser=0&hl=id&rclk=1;Ngohiang Khas Bogor Asli Gang Aut;4,5;(1.649);China;Jl. Suryakencana No.309 A, RT.01/RW.07;⋅ Buka Rab pukul 10.00
https://www.google.com/maps/place/Kedai+Soto+Ibu+Rahayu/data=!4m7!3m6!1s0x2e69c424f1cb2ea5:0xeeb6198b9e8a9040!8m2!3d-6.6113323!4d106.8144825!16s%2Fg%2F11btm9ky2g!19sChIJpS7L8STEaS4RQJCKnosZtu4?authuser=0&hl=id&rclk=1;Kedai Soto Ibu Rahayu;4,4;(6.458);Sup;Jl. Pajajaran Indah V No.38, RT.01/RW.11;⋅ Tutup pukul 23.45
