url;nama;ratings;reviewers;kategori;alamat;jam-opearsional
https://www.google.com/maps/place/Kopi+Dari+Hati+L7/data=!4m7!3m6!1s0x2e69c525b418f269:0x237293d1b879a38e!8m2!3d-6.5704099!4d106.7345624!16s%2Fg%2F11k3pqt3lj!19sChIJafIYtCXFaS4RjqN5uNGTciM?authuser=0&hl=id&rclk=1;Kopi Dari Hati L7;5,0;(6);Kedai Kopi;Dramaga Cantik Residence Blok L No 7;⋅ Tutup pukul 05.00 ⋅ Buka kembali pukul 16.00
https://www.google.com/maps/place/Sisi+Barat+Coffee/data=!4m7!3m6!1s0x2e69c567ce03a79b:0xf1344e22be05e6c2!8m2!3d-6.5625107!4d106.7442433!16s%2Fg%2F11n0tx32v8!19sChIJm6cDzmfFaS4RwuYFviJONPE?authuser=0&hl=id&rclk=1;Sisi Barat Coffee;4,5;(754);Kedai Kopi;Jl. Batu Hulung, RT.02/RW.02;⋅ Buka pukul 10.00
https://www.google.com/maps/place/Warkop+86/data=!4m7!3m6!1s0x2e69c4b14f5c4c35:0x305a5c5875bfe4bd!8m2!3d-6.5630979!4d106.7303003!16s%2Fg%2F11clvx8vjs!19sChIJNUxcT7HEaS4RveS_dVhcWjA?authuser=0&hl=id&rclk=1;Warkop 86;4,2;(24);Kafe;;
https://www.google.com/maps/place/Angkringan+Dramaga+-+Happy+Feel+Rest+Area/data=!4m7!3m6!1s0x2e69c5c4d467be37:0xa1fbe55f54cf838b!8m2!3d-6.5668143!4d106.73625!16s%2Fg%2F11sjlzgrt1!19sChIJN75n1MTFaS4Ri4PPVF_l-6E?authuser=0&hl=id&rclk=1;Angkringan Dramaga - Happy Feel Rest Area;5,0;(4);Restoran;Happy Feel Rest Area, Jl. Raya Dramaga No.KM No.8;⋅ Buka pukul 16.00
https://www.google.com/maps/place/Botani+Kopi+Nusantara/data=!4m7!3m6!1s0x2e69c5d6f34ebc25:0x277d37385498bb6a!8m2!3d-6.5597107!4d106.7250427!16s%2Fg%2F11h3ngz207!19sChIJJbxO89bFaS4RaruYVDg3fSc?authuser=0&hl=id&rclk=1;Botani Kopi Nusantara;4,6;(103);Kafe;CPRG+427, Gedung Andi Hakim Nasution, Jalan Institut Pertanian Bogor;⋅ Buka pukul 08.00
https://www.google.com/maps/place/ZAMA+HOUSE/data=!4m7!3m6!1s0x2e69c58819b72751:0x40d702ce03110124!8m2!3d-6.571015!4d106.7398067!16s%2Fg%2F11ly3xtz8b!19sChIJUSe3GYjFaS4RJAERA84C10A?authuser=0&hl=id&rclk=1;ZAMA HOUSE;4,8;(335);Kafe;Jl. Raya Dramaga - Bogor No.Km 7.3, RT.02/RW.06;⋅ Buka pukul 10.00
https://www.google.com/maps/place/Warkomie+Baba+-+Dramaga/data=!4m7!3m6!1s0x2e69c58e439cf27f:0x1537cf6f63933668!8m2!3d-6.563392!4d106.733522!16s%2Fg%2F11mvfzk078!19sChIJf_KcQ47FaS4RaDaTY2_PNxU?authuser=0&hl=id&rclk=1;Warkomie Baba - Dramaga;4,7;(15);Kafe;Jl. Sindang Barang/Raya Dramaga Blok Bara 1 No.30, RT.3/RW.1;
https://www.google.com/maps/place/Kopi+Warung+Pemula/data=!4m7!3m6!1s0x2e69c56d5369d987:0x94a4dfbb9e34f9c9!8m2!3d-6.5654753!4d106.7352106!16s%2Fg%2F11h1z4412w!19sChIJh9lpU23FaS4Ryfk0nrvfpJQ?authuser=0&hl=id&rclk=1;Kopi Warung Pemula;4,7;(46);Kafe;Seberang Hotel Duta Berlian, Jl. Raya Dramaga - Bogor;⋅ Buka pukul 14.00
https://www.google.com/maps/place/Starbucks+Dramaga/data=!4m7!3m6!1s0x2e69c5782b91a8d9:0xfd6f908ba5eb46b8!8m2!3d-6.5717262!4d106.7397298!16s%2Fg%2F11q7ft4yrm!19sChIJ2aiRK3jFaS4RuEbrpYuQb_0?authuser=0&hl=id&rclk=1;Starbucks Dramaga;4,7;(399);Kedai Kopi;RT.01/RW.06;⋅ Buka pukul 09.00
https://www.google.com/maps/place/Warmindo+Balola/data=!4m7!3m6!1s0x2e69c50627679379:0x3564971373a63c0d!8m2!3d-6.5587618!4d106.7333227!16s%2Fg%2F11h59t644l!19sChIJeZNnJwbFaS4RDTymcxOXZDU?authuser=0&hl=id&rclk=1;Warmindo Balola;4,6;(25);Kafe;Jl. Babakan Tengah No.83, RT.002/RW.008;⋅ Buka pukul 23.00
https://www.google.com/maps/place/Chick+N+Tea+Resto+Pusat/data=!4m7!3m6!1s0x2e69c4b11f3b8527:0xff45de82618be535!8m2!3d-6.5625419!4d106.7322951!16s%2Fg%2F11c1xq73y8!19sChIJJ4U7H7HEaS4RNeWLYYLeRf8?authuser=0&hl=id&rclk=1;Chick N Tea Resto Pusat;4,5;(1.070);Makanan Siap Saji;Jl. Raya Dramaga - Bogor No.KM. 7;
https://www.google.com/maps/place/WarKop+mak+DIAH/data=!4m7!3m6!1s0x2e69c5bd08027561:0x7941ce490faa442f!8m2!3d-6.560438!4d106.7338059!16s%2Fg%2F11kq687mj7!19sChIJYXUCCL3FaS4RL0SqD0nOQXk?authuser=0&hl=id&rclk=1;WarKop mak DIAH;5,0;(4);Kedai Kopi;CPQM+RGF;
https://www.google.com/maps/place/Ropang+Selow/data=!4m7!3m6!1s0x2e69c5e5fb7acf99:0x99cbb1ae4cececcc!8m2!3d-6.5586329!4d106.7373571!16s%2Fg%2F11sjt8gcnx!19sChIJmc96--XFaS4RzOzsTK6xy5k?authuser=0&hl=id&rclk=1;Ropang Selow;5,0;(15);Roti bakar;Sebelah Wisma Faris, KP Jl. Babakan Lb. No.0, RT.03/RW.05;⋅ Buka pukul 17.00
https://www.google.com/maps/place/Warkop+Bateng/data=!4m7!3m6!1s0x2e69c4b1d452ceff:0x174879b601660c36!8m2!3d-6.5588236!4d106.7320988!16s%2Fg%2F11cs3h9vqh!19sChIJ_85S1LHEaS4RNgxmAbZ5SBc?authuser=0&hl=id&rclk=1;Warkop Bateng;4,7;(160);Kafe;Jl. Babakan Tengah No.13;⋅ Buka pukul 06.00
